Lista Categorias,Lista tipo de gasto,Naturalesa,Tipo de músculo,Ejercicio
Menjar,Fixe,Ingreso,Piernas,Prensa de piernas
Gym,Variable,Gasto,Piernas,Extension cuadriceps
Subscriptions,,,Piernas,Curl Femoral
Oci,,,Piernas,Sentadilla
Suplements/Autocura,,,Piernas,Bulgaras
Roba,,,Piernas,Peso muerto rumano
Regals,,,Glúteo,Abductor fuera
Farmacia,,,Glúteo,Abductor dentro
,,,Glúteo,Hip thrust
,,,Glúteo,Patada de gluteo
,,,Glúteo,Peso muerto sumo
,,,Core,Crunch abdominal
,,,Core,Oblicuos
,,,Core,Plancha
,,,Superior,Jalón al pecho
,,,Superior,Remo
,,,Superior,Dominadas
